"PVWatts Hourly PV Performance Data"
"Requested Location","symlar"
"Location","Lat, Lng: 34.33, -118.46"
"Latitude (DD)","34.33"
"Longitude (DD)","-118.46"
"Elevation (m)","655.79998779297"
"DC System Size (kW)","4000"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","20","13","952","114","32","2.7","0.15","993.836","53.149","3002255.234","2880019.144"
"4","20","14","912","110","31","2.2","0.15","833.429","50.493","2566921.178","2460110.704"
"4","20","15","841","102","30","1.6","0.15","617.809","46.403","1954018.81","1868925.904"
"4","20","16","647","85","28","1.1","0.15","337.442","37.993","1063090.82","1009567.035"
"4","20","17","201","69","25","0.9","0.15","93.055","27.813","262704.73","237541.807"
"4","20","18","0","0","23","0.9","0.15","0","0","0","0"
"4","20","19","0","0","23","1","0.15","0","23","0","0"
"4","20","20","0","0","22","1.1","0.15","0","22","0","0"
"4","20","21","0","0","22","1.2","0.15","0","22","0","0"
"4","20","22","0","0","22","1.2","0.15","0","22","0","0"
"4","20","23","0","0","21","1.2","0.15","0","21","0","0"
"4","21","0","0","0","21","1.2","0.15","0","21","0","0"
"4","21","1","0","0","20","1.2","0.15","0","20","0","0"
"4","21","2","0","0","19","1.3","0.15","0","19","0","0"
"4","21","3","0","0","18","1.3","0.15","0","18","0","0"
"4","21","4","0","0","18","1.4","0.15","0","18","0","0"
"4","21","5","0","15","19","1.3","0.15","13.818","19.357","31360.568","14395.088"
"4","21","6","330","81","22","1.9","0.15","145.63","25.511","430079.865","398986.175"
"4","21","7","738","95","26","2.4","0.15","426.433","35.602","1389428.207","1324340.991"
"4","21","8","833","114","29","2.4","0.15","667.153","44.046","2124530.747","2033395.925"
"4","21","9","884","129","30","2.5","0.15","868.334","49.176","2681261.88","2570399.861"
"4","21","10","968","105","31","2.6","0.15","1022.465","53.146","3084469.32","2959320.058"
"4","21","11","978","108","32","2.6","0.15","1089.744","55.588","3241279.826","3110574.144"
"4","21","12","975","108","32","2.7","0.15","1078.795","54.939","3219416.645","3089485.663"
"4","21","13","959","105","31","2.9","0.15","990.982","51.367","3016756.807","2894006.869"
"4","21","14","924","99","30","3.2","0.15","831.606","46.284","2607170.922","2498934.241"
"4","21","15","864","90","29","3.3","0.15","619.473","40.968","2004401.113","1917522.962"
"4","21","16","754","76","27","2.7","0.15","370.572","34.859","1183948.322","1126142.076"
"4","21","17","530","51","23","1.7","0.15","125.754","26.011","317813.193","290697.558"
"4","21","18","0","0","20","1.3","0.15","0","0","0","0"
"4","21","19","0","0","19","1.3","0.15","0","19","0","0"
"4","21","20","0","0","19","1.2","0.15","0","19","0","0"
"4","21","21","0","0","18","0.9","0.15","0","18","0","0"
"4","21","22","0","0","17","0.8","0.15","0","17","0","0"
"4","21","23","0","0","16","0.8","0.15","0","16","0","0"
"4","22","0","0","0","16","0.7","0.15","0","16","0","0"
"4","22","1","0","0","15","0.6","0.15","0","15","0","0"
"4","22","2","0","0","15","0.5","0.15","0","15","0","0"
"4","22","3","0","0","14","0.5","0.15","0","14","0","0"
"4","22","4","0","0","14","0.6","0.15","0","14","0","0"
"4","22","5","135","16","15","0.6","0.15","12.309","15.381","28323.054","11465.205"
"4","22","6","575","62","17","1","0.15","180.923","22.279","520570.479","486270.347"
"4","22","7","769","82","19","1.6","0.15","428.887","30.36","1427659.342","1361217.445"
"4","22","8","859","97","22","2","0.15","667.913","38.284","2178227.064","2085189.568"
"4","22","9","908","108","24","2.1","0.15","863.578","44.587","2719238.415","2607030.736"
"4","22","10","935","114","25","2.4","0.15","1000.906","47.488","3091683.817","2966278.917"
"4","22","11","945","118","26","2.8","0.15","1067.059","48.289","3273137.914","3141303.374"
"4","22","12","291","457","26","3.1","0.15","755.758","40.949","2368061.951","2268297.85"
"4","22","13","246","428","25","3.2","0.15","652.686","37.708","2075937.245","1986524.284"
"4","22","14","875","115","24","3.1","0.15","809.026","40.101","2599478.976","2491514.85"
"4","22","15","806","105","23","2.8","0.15","599.422","35.586","1979529.003","1893532.17"
"4","22","16","697","85","22","2.3","0.15","356.804","30.146","1161651.492","1104635.311"
"4","22","17","462","57","19","1.6","0.15","121.611","22.007","321241.807","294004.683"
"4","22","18","0","0","16","1.1","0.15","0","0","0","0"
"4","22","19","0","0","14","0.9","0.15","0","14","0","0"
"4","22","20","0","0","13","0.9","0.15","0","13","0","0"
"4","22","21","0","0","12","0.9","0.15","0","12","0","0"
"4","22","22","0","0","12","0.9","0.15","0","12","0","0"
"4","22","23","0","0","11","0.8","0.15","0","11","0","0"
"4","23","0","0","0","11","0.7","0.15","0","11","0","0"
"4","23","1","0","0","11","0.3","0.15","0","11","0","0"
"4","23","2","0","0","11","0.2","0.15","0","11","0","0"
"4","23","3","0","0","11","0.4","0.15","0","11","0","0"
"4","23","4","0","0","11","0.4","0.15","0","11","0","0"
"4","23","5","0","21","11","1.2","0.15","18.788","11.498","44952.91","27505.799"
"4","23","6","208","94","13","2.2","0.15","132.121","16.032","419391.762","388676.794"
"4","23","7","0","89","14","2.4","0.15","82.763","15.862","276088.084","250450.935"
"4","23","8","6","187","16","2.4","0.15","179.143","20.016","596577.873","559584.497"
"4","23","9","18","273","18","2.6","0.15","272.617","23.877","897894.551","850224.327"
"4","23","10","11","216","19","3.2","0.15","213.764","23.151","696771.054","656227.435"
"4","23","11","13","246","20","3.9","0.15","245.381","24.275","797805.919","753682.233"
"4","23","12","28","368","21","4.5","0.15","387.558","27.209","1261753.84","1201190.634"
"4","23","13","323","402","20","4.7","0.15","704.441","31.029","2304946.47","2207418.802"
"4","23","14","842","134","20","4.6","0.15","805.531","32.84","2661099.037","2550951.467"
"4","23","15","763","124","19","4.3","0.15","592.532","28.861","2006553.063","1919598.66"
"4","23","16","639","102","17","4","0.15","350.925","23.052","1175820.823","1118302.566"
"4","23","17","59","74","15","3","0.15","76.486","16.531","243977.635","219478.287"
"4","23","18","0","0","13","1.9","0.15","0","0","0","0"
"4","23","19","0","0","11","1.6","0.15","0","11","0","0"
"4","23","20","0","0","11","1.4","0.15","0","11","0","0"
"4","23","21","0","0","10","1.2","0.15","0","10","0","0"
"4","23","22","0","0","10","1","0.15","0","10","0","0"
"4","23","23","0","0","9","0.9","0.15","0","9","0","0"
"4","24","0","0","0","9","0.8","0.15","0","9","0","0"
"4","24","1","0","0","9","0.7","0.15","0","9","0","0"
"4","24","2","0","0","9","0.7","0.15","0","9","0","0"
"4","24","3","0","0","9","0.8","0.15","0","9","0","0"
"4","24","4","0","0","9","0.8","0.15","0","9","0","0"
"4","24","5","25","18","9","1.1","0.15","15.688","9.426","37586.459","20400.371"
"4","24","6","0","36","11","1.5","0.15","33.384","11.905","110031.389","90278.289"
"4","24","7","0","63","13","1.8","0.15","58.522","14.483","193552.497","170839.912"
"4","24","8","0","96","14","2","0.15","89.361","16.165","294375.992","268090.83"
"4","24","9","14","252","16","2.4","0.15","249.077","21.57","825369.602","780269.226"
"4","24","10","204","450","18","2.9","0.15","641.78","31.128","2089209.037","1999325.804"
"4","24","11","31","381","19","3.5","0.15","403.855","26.474","1319277.474","1256675.977"
"4","24","12","24","349","20","4.2","0.15","355.682","25.937","1161221.872","1104220.914"
"4","24","13","15","271","19","4.6","0.15","269.784","23.268","886201.875","838945.969"
"4","24","14","5","173","18","4.8","0.15","165.989","20.562","545902.819","510705.061"
"4","24","15","7","185","17","4.6","0.15","177.407","19.819","592951.173","556086.305"
"4","24","16","92","170","16","4.2","0.15","195.358","19.287","662477.578","623149.113"
"4","24","17","0","6","14","3.2","0.15","5.55","14.109","16556.338","115.431"
"4","24","18","0","0","12","2.1","0.15","0","0","0","0"
"4","24","19","0","0","10","1.5","0.15","0","10","0","0"
"4","24","20","0","0","10","1.2","0.15","0","10","0","0"
"4","24","21","0","0","9","1","0.15","0","9","0","0"
"4","24","22","0","0","9","1","0.15","0","9","0","0"
"4","24","23","0","0","8","1","0.15","0","8","0","0"
"4","25","0","0","0","7","1.2","0.15","0","7","0","0"
"4","25","1","0","0","6","1.7","0.15","0","6","0","0"
"4","25","2","0","0","5","2.2","0.15","0","5","0","0"
"4","25","3","0","0","4","2.6","0.15","0","4","0","0"
"4","25","4","0","0","4","2.8","0.15","0","4","0","0"
"4","25","5","169","22","5","3.4","0.15","16.928","5.293","41474.304","24150.454"
"4","25","6","496","67","7","4.3","0.15","171.658","9.742","527997.801","493434.489"
"4","25","7","813","86","10","5","0.15","455.873","16.906","1600113.209","1527560.586"
"4","25","8","890","104","13","5.4","0.15","698.008","23.079","2412186.681","2310859.066"
"4","25","9","935","115","15","5.3","0.15","894.67","28.045","3003280.434","2881008.017"
"4","25","10","966","118","16","4.9","0.15","1035.001","31.838","3398585.027","3262305.396"
"4","25","11","977","119","17","4.6","0.15","1100.084","34.493","3562443.164","3333333.333"
"4","25","12","974","119","18","4.6","0.15","1088.442","35.31","3515733.19","3333333.333"
"4","25","13","962","112","18","4.7","0.15","1000.064","33.709","3266580.534","3134978.348"
"4","25","14","928","106","18","4.8","0.15","841.15","31.064","2799436.326","2684386.917"
"4","25","15","867","96","17","4.7","0.15","627.014","26.892","2142594.454","2050819.563"
"4","25","16","768","78","16","4.4","0.15","378.269","22.164","1270985.55","1210095.229"
"4","25","17","542","55","13","3.1","0.15","131.965","15.436","352540.271","324194.118"
